Time,Epoch,Train loss,Vali loss,Vali Accuracy
2020-01-22T23:30:46,1,0.047,0.265,0.925
2020-01-22T23:31:01,1,0.025,0.296,0.875
2020-01-22T23:31:15,1,0.012,0.161,0.9
2020-01-22T23:31:29,1,0.002,0.103,0.975
2020-01-22T23:31:44,1,0.079,0.125,0.975
2020-01-22T23:31:58,1,0.005,0.143,0.925
2020-01-22T23:32:12,1,0.007,0.349,0.875
2020-01-22T23:32:26,1,0.043,0.398,0.95
2020-01-22T23:32:40,2,0.003,0.293,0.925
2020-01-22T23:32:55,2,0.009,0.566,0.875
2020-01-22T23:33:10,2,0.016,0.319,0.95
2020-01-22T23:33:25,2,0.018,0.196,0.95
2020-01-22T23:33:40,2,0.008,0.118,0.95
2020-01-22T23:33:55,2,0.002,0.046,0.975
2020-01-22T23:34:10,2,0.009,0.065,0.975
2020-01-22T23:34:25,2,0.021,0.044,0.975
2020-01-22T23:34:40,3,0.008,0.041,0.975
2020-01-22T23:34:54,3,0.017,0.043,1.0
2020-01-22T23:35:09,3,0.0,0.04,0.975
2020-01-22T23:35:24,3,0.002,0.05,0.975
2020-01-22T23:35:39,3,0.022,0.058,0.975
2020-01-22T23:35:54,3,0.01,0.053,0.975
2020-01-22T23:36:08,3,0.004,0.079,0.975
2020-01-22T23:36:23,3,0.003,0.097,0.975
2020-01-22T23:36:37,4,0.005,0.106,0.975
2020-01-22T23:36:52,4,0.0,0.141,0.95
2020-01-22T23:37:07,4,0.002,0.168,0.925
2020-01-22T23:37:22,4,0.004,0.11,0.95
2020-01-22T23:37:36,4,0.0,0.171,0.9
2020-01-22T23:37:51,4,0.001,0.131,0.925
2020-01-22T23:38:05,4,0.001,0.195,0.925
2020-01-22T23:38:20,4,0.0,0.208,0.925
2020-01-22T23:38:34,5,0.003,0.212,0.925
2020-01-22T23:38:49,5,0.023,0.167,0.925
2020-01-22T23:39:04,5,0.0,0.145,0.95
2020-01-22T23:39:18,5,0.004,0.037,0.975
2020-01-22T23:39:33,5,0.061,0.193,0.925
2020-01-22T23:39:48,5,0.002,0.232,0.925
2020-01-22T23:40:03,5,0.0,0.298,0.925
2020-01-22T23:40:17,5,0.0,0.195,0.95
2020-01-22T23:40:32,6,0.0,0.389,0.9
2020-01-22T23:40:47,6,0.101,0.069,0.975
2020-01-22T23:41:02,6,0.0,0.239,0.95
2020-01-22T23:41:16,6,0.002,0.003,1.0
2020-01-22T23:41:31,6,0.014,0.271,0.95
2020-01-22T23:41:46,6,0.039,0.303,0.95
2020-01-22T23:42:00,6,0.027,0.362,0.975
2020-01-22T23:42:15,6,0.067,0.314,0.975
2020-01-22T23:42:30,7,0.006,0.352,0.925
2020-01-22T23:42:44,7,0.005,0.338,0.925
2020-01-22T23:42:59,7,0.012,0.312,0.925
2020-01-22T23:43:14,7,0.007,0.303,0.925
2020-01-22T23:43:28,7,0.006,0.235,0.975
2020-01-22T23:43:43,7,0.04,0.26,0.95
2020-01-22T23:43:58,7,0.021,0.261,0.95
2020-01-22T23:44:12,7,0.005,0.297,0.925
2020-01-22T23:44:27,8,0.009,0.335,0.925
2020-01-22T23:44:42,8,0.005,0.401,0.95
2020-01-22T23:44:56,8,0.083,0.354,0.95
2020-01-22T23:45:11,8,0.01,0.263,0.95
2020-01-22T23:45:26,8,0.021,0.063,0.975
2020-01-22T23:45:41,8,0.005,0.198,0.975
2020-01-22T23:45:55,8,0.012,0.227,0.95
2020-01-22T23:46:10,8,0.008,0.077,0.975
2020-01-22T23:46:25,9,0.011,0.215,0.95
2020-01-22T23:46:39,9,0.004,0.214,0.95
2020-01-22T23:46:54,9,0.016,0.084,0.975
2020-01-22T23:47:08,9,0.003,0.222,0.95
2020-01-22T23:47:23,9,0.013,0.084,0.975
2020-01-22T23:47:38,9,0.002,0.137,0.975
2020-01-22T23:47:52,9,0.002,0.224,0.95
2020-01-22T23:48:07,9,0.001,0.226,0.95
2020-01-22T23:48:21,10,0.003,0.143,0.975
2020-01-22T23:48:36,10,0.0,0.223,0.95
2020-01-22T23:48:51,10,0.002,0.23,0.95
2020-01-22T23:49:05,10,0.002,0.226,0.95
2020-01-22T23:49:20,10,0.001,0.227,0.95
2020-01-22T23:49:34,10,0.005,0.002,1.0
2020-01-22T23:49:49,10,0.001,0.062,0.975
2020-01-22T23:50:03,10,0.0,0.056,0.975
